Unnamed: 0,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,target,song_title,artist,energy_dance,happy_dance,energy_loudness,acoustic_energy,dance_tempo,happiness_score,dancefloor_potential,chill_factor,energy_level,dance_category,tempo_category,mood,speech_to_music_ratio,energy_acoustic_ratio
50,0.0185,0.74,241341,0.846,0.0624,2,0.254,-6.039,1,0.0808,95.995,4.0,0.852,1,Annie,Neon Indian,0.6260399999999999,0.6304799999999999,-5.108994,0.015650999999999998,71.0363,0.7867500000000001,0.6222407390127834,0.11576979770255158,High,Very_Danceable,Medium,Happy,1.274447949526814,43.38461538461539
51,0.0638,0.7,224480,0.84,0.112,7,0.141,-6.227,0,0.0292,132.475,4.0,0.745,1,The Chase,Future Islands,0.588,0.5215,-5.23068,0.053591999999999994,92.73249999999999,0.6905999999999999,0.6778227737861964,0.13478094947646638,High,Moderate,Fast,Happy,0.25840707964601767,12.962962962962964
52,0.456,0.514,215613,0.453,0.000181,6,0.178,-7.062,1,0.0267,75.548,4.0,0.532,1,Coming Home,Leon Bridges,0.23284200000000002,0.273448,-3.1990860000000003,0.206568,38.831672000000005,0.29500000000000004,0.3761594196136979,0.4030026430822405,Medium,Moderate,Slow,Neutral,22.60795935647756,0.9912472647702407
53,0.128,0.313,286960,0.77,0.0787,7,0.0873,-7.265,1,0.0335,74.749,4.0,0.186,1,Wishes,Beach House,0.24101,0.058218,-5.59405,0.09856000000000001,23.396437,0.1855,0.4132728686510528,0.19006628037003148,High,Not_Danceable,Slow,Sad,0.4203262233375157,5.9689922480620154
54,0.246,0.676,254769,0.528,0.0,7,0.0803,-8.699,1,0.0366,130.073,4.0,0.301,1,White Iverson,Post Malone,0.356928,0.20347600000000002,-4.593072,0.129888,87.929348,0.36550000000000005,0.5611534011383784,0.32464389549659445,Medium,Moderate,Fast,Sad,36.6,2.1376518218623484
55,0.12,0.532,213622,0.596,0.0,11,0.504,-9.912,0,0.187,119.296,5.0,0.486,1,I Know There's Gonna Be (Good Times),Jamie xx,0.317072,0.258552,-5.907552,0.07152,63.465472000000005,0.449,0.5148700973531151,0.27230822405204835,Medium,Moderate,Medium,Neutral,187.0,4.925619834710743
56,0.00426,0.646,283067,0.629,0.277,8,0.122,-10.775,0,0.0427,109.013,4.0,0.176,1,Loud Places,Jamie xx,0.40633400000000003,0.11369599999999999,-6.777475,0.00267954,70.422398,0.40887,0.5438804391776305,0.23150122395039138,Medium,Moderate,Medium,Sad,0.15359712230215827,119.58174904942966
57,0.193,0.598,238307,0.252,0.138,2,0.0992,-15.086,1,0.0647,120.06,4.0,0.0359,1,L$D,A$AP Rocky,0.150696,0.0214682,-3.801672,0.048636,71.79588,0.22045,0.42368860999657865,0.463905560638406,Low,Moderate,Fast,Sad,0.4654676258992805,1.2989690721649485
58,0.0174,0.754,113373,0.442,9.4e-05,5,0.0622,-8.873,0,0.127,148.04,4.0,0.599,1,Dopeman,Vince Staples,0.333268,0.451646,-3.9218659999999996,0.007690799999999999,111.62216,0.6678,0.5934137196354702,0.27887939412422486,Medium,Very_Danceable,Very_Fast,Neutral,116.08775137111519,24.021739130434785
59,0.000392,0.294,311360,0.786,0.865,2,0.272,-3.626,1,0.0378,81.108,4.0,0.136,1,California Nights,Best Coast,0.23108399999999998,0.039984,-2.8500360000000002,0.000308112,23.845752,0.214804,0.42463445927031823,0.10520396137033648,High,Not_Danceable,Slow,Sad,0.043648960739030025,564.6551724137931
60,0.435,0.622,287427,0.253,0.471,2,0.0941,-14.36,1,0.0331,92.584,4.0,0.328,1,Baby,Ariel Pink's Haunted Graffiti,0.157366,0.204016,-3.63308,0.110055,57.587248,0.25749999999999995,0.37860991882056544,0.5368585951001321,Low,Moderate,Medium,Sad,0.0701271186440678,0.5802752293577982
61,0.257,0.559,225347,0.656,0.000171,9,0.2,-8.699,0,0.0469,79.638,4.0,0.671,1,Ain't No Love In The Heart Of The City - Single Version,"Bobby ""Blue"" Bland",0.36670400000000003,0.37508900000000006,-5.706544,0.16859200000000002,44.51764200000001,0.4865,0.46677684986470097,0.28564389549659447,Medium,Moderate,Slow,Happy,40.05123825789923,2.5426356589147288
62,0.000145,0.54,293646,0.945,0.753,9,0.667,-6.64,1,0.0406,92.995,4.0,0.87,1,Fail to Cry,Yacht Club,0.5103,0.46980000000000005,-6.274799999999999,0.00013702499999999998,50.21730000000001,0.7049275,0.5827422164162857,0.08276105062519062,High,Moderate,Medium,Happy,0.05384615384615384,825.3275109170305
63,0.273,0.793,232251,0.7,0.0,0,0.174,-6.641,0,0.0572,140.058,4.0,0.887,1,Evil Friends (feat. Danny Brown) - Jake One Remix,Portugal. The Man,0.5551,0.703391,-4.6487,0.1911,111.065994,0.7035,0.6768970949581661,0.255389549659449,Medium,Very_Danceable,Very_Fast,Happy,57.2,2.554744525547445
64,0.374,0.549,223720,0.715,3.5e-06,1,0.17,-11.164,1,0.0633,82.118,4.0,0.785,1,Ikimiz Bir Fidaniz - Baris K Edit,Umit Aksu Orkestrasi,0.392535,0.43096500000000004,-7.982259999999999,0.26741,45.082782,0.48000000000000004,0.487931184100028,0.33003568161024704,High,Moderate,Slow,Happy,63.07922272047832,1.9066666666666665
65,0.00266,0.557,186397,0.607,0.771,0,0.33,-10.088,1,0.0578,73.061,4.0,0.259,1,Sentimental Trash,Sweet Valley,0.33809900000000004,0.14426300000000003,-6.123416,0.00161462,40.69497700000001,0.40667000000000003,0.43699147771453456,0.23131738741486227,Medium,Moderate,Slow,Sad,0.07487046632124351,165.84699453551912
66,0.000546,0.597,279240,0.444,0.051,2,0.335,-8.39,0,0.03,120.074,4.0,0.361,1,Get Away,CHVRCHES,0.26506799999999997,0.215517,-3.7251600000000002,0.00024242400000000004,71.684178,0.47872699999999996,0.4873824919909178,0.2676846939107452,Medium,Moderate,Fast,Neutral,0.576923076923077,287.1927554980595
67,0.00781,0.879,213786,0.512,1.45e-05,0,0.134,-7.83,1,0.0775,127.95,4.0,0.277,1,Look At Wrist,Father,0.450048,0.24348300000000003,-4.00896,0.00399872,112.46805,0.574095,0.6193597244253678,0.24174656805936764,Medium,Very_Danceable,Fast,Sad,76.39231148348941,58.11577752553916
68,0.125,0.726,334173,0.497,0.89,10,0.104,-10.742,0,0.0433,125.004,4.0,0.472,1,Our Love,Caribou,0.360822,0.342672,-5.338774000000001,0.062125,90.752904,0.5365,0.5576328419022737,0.31541242248653045,Medium,Very_Danceable,Fast,Neutral,0.04859708193041526,3.944444444444444
69,0.00158,0.857,134062,0.831,0.0,2,0.154,-4.664,1,0.0995,106.059,4.0,0.251,1,I Ain't Trippin off Nothin,Ezale,0.712167,0.215107,-3.8757839999999995,0.00131298,90.892563,0.5532100000000001,0.6758046717053902,0.10115195893056828,High,Very_Danceable,Medium,Sad,99.5,322.09302325581393
70,0.0132,0.807,330920,0.778,0.666,0,0.109,-5.485,1,0.0399,120.001,4.0,0.797,1,They Don't Know - Original Mix,Disciples,0.627846,0.6431790000000001,-4.26733,0.0102696,96.84080700000001,0.7954,0.6685739168299586,0.1310379993900579,High,Very_Danceable,Fast,Happy,0.059820089955022485,54.78873239436619
71,0.783,0.596,196627,0.639,0.569,0,0.331,-6.546,1,0.03,124.012,4.0,0.197,1,Sabali,Amadou & Mariam,0.380844,0.117412,-4.182894,0.500337,73.911152,0.004999999999999949,0.5597044415414761,0.44475714140489986,Medium,Moderate,Fast,Sad,0.052631578947368425,0.8150510204081632
72,0.518,0.683,155133,0.708,2.08e-05,4,0.175,-6.852,0,0.0289,106.446,4.0,0.967,1,Spooky,Dusty Springfield,0.483564,0.6604610000000001,-4.851216,0.366744,72.702618,0.566,0.5775569811203384,0.3365345125546407,High,Moderate,Medium,Happy,28.311128526645764,1.3641618497109826
73,0.0548,0.768,239908,0.853,0.13,10,0.0188,-5.915,0,0.0427,107.234,4.0,0.887,1,Pick Up The Pieces,Average White Band,0.655104,0.681216,-5.045495,0.0467444,82.355712,0.8001,0.655755481944574,0.12427591745450849,High,Very_Danceable,Medium,Happy,0.32595419847328244,15.28673835125448
74,0.727,0.506,160400,0.948,0.0,10,0.0904,-5.626,1,0.105,130.195,4.0,0.936,1,Have Love Will Travel,The Sonics,0.479688,0.47361600000000004,-5.333448,0.6891959999999999,65.87867,0.3575000000000001,0.644723896612858,0.3137380298871607,High,Moderate,Fast,Happy,105.0,1.3021978021978022
75,0.000313,0.457,293533,0.918,0.000215,11,0.769,-5.295,0,0.0471,105.018,4.0,0.297,1,Capitol,TR/ST,0.419526,0.135729,-4.86081,0.00028733400000000004,47.993226,0.3768435,0.5694476843644055,0.07814418288095963,High,Moderate,Medium,Sad,38.76543209876544,699.1622239146992
76,0.34,0.468,386760,0.58,0.821,7,0.0737,-8.131,1,0.0278,76.27,4.0,0.324,1,Uncast Shadow Of A Southern Myth,Parquet Courts,0.27144,0.15163200000000002,-4.71598,0.19720000000000001,35.69436,0.226,0.40456295294081057,0.3328697773711497,Medium,Moderate,Slow,Sad,0.03381995133819951,1.7008797653958942
77,0.47,0.537,232453,0.447,1.86e-05,9,0.0519,-8.261,1,0.0289,84.362,3.0,0.549,1,I Shall Be Released - Remastered,Nina Simone,0.24003900000000003,0.29481300000000005,-3.6926669999999997,0.21009,45.302394,0.30800000000000005,0.3989600790022083,0.4218579851580766,Medium,Moderate,Slow,Neutral,28.372275672491657,0.9490445859872613
78,0.855,0.515,378253,0.217,0.463,3,0.598,-13.382,0,0.0351,80.015,4.0,0.194,1,Words I Don't Remember,How To Dress Well,0.11175500000000001,0.09991,-2.9038939999999998,0.185535,41.207725,-0.07299999999999995,0.30650971975988306,0.678916539595405,Low,Moderate,Slow,Sad,0.07564655172413792,0.25350467289719625
79,0.00502,0.429,196933,0.725,1.54e-05,2,0.266,-6.156,1,0.0371,82.925,4.0,0.174,1,To The Top,Twin Shadow,0.311025,0.07464599999999999,-4.4631,0.0036395,35.574825,0.29899,0.4528332866784859,0.1527991847107858,High,Moderate,Slow,Sad,36.537325192042545,120.43189368770763
80,0.555,0.791,187210,0.58,0.00155,8,0.116,-8.377,1,0.0588,81.678,4.0,0.733,1,Them Changes (feat. Flying Lotus & Kamasi Washington),Thundercat,0.45877999999999997,0.5798030000000001,-4.85866,0.3219,64.607298,0.4845,0.5227425118969861,0.4070372064653858,Medium,Very_Danceable,Slow,Happy,23.05882352941176,1.043165467625899
81,0.186,0.711,221350,0.705,0.0,10,0.148,-6.248,0,0.252,144.053,4.0,0.403,1,Aquafina (feat. GoldLink & Chaz French),Falcons,0.5012549999999999,0.286533,-4.40484,0.13113,102.42168299999999,0.46399999999999997,0.6589965164380579,0.2207277625292264,High,Very_Danceable,Very_Fast,Neutral,252.0,3.770053475935829
82,0.0249,0.683,201049,0.824,0.627,1,0.0533,-8.569,0,0.222,154.008,4.0,0.921,1,Hot Blur,How Sad,0.562792,0.6290430000000001,-7.060856,0.020517599999999997,105.18746400000002,0.7895500000000001,0.7086818916985477,0.1509556877096676,High,Moderate,Very_Fast,Happy,0.3535031847133758,31.814671814671815
83,0.0108,0.309,257867,0.325,0.854,6,0.0742,-16.4,0,0.0366,175.88,4.0,0.46,1,Summer Madness,Kool & The Gang,0.100425,0.14214000000000002,-5.33,0.00351,54.34692,0.3791,0.4602000093309695,0.39219662498729285,Medium,Not_Danceable,Very_Fast,Neutral,0.04280701754385965,27.54237288135593
